gen_sample,nn_train_sample,nn_train_K,combined_score,heatmap_mse,impedance_mse,occupancy_hamming,occupancy_exact,occ_pattern_in_train,combined_percentile_vs_train_nn
data_sample_166,sample_19889,41,3.628527879714966,3.470273494720459,0.004408006556332111,8,False,False,1.0
data_sample_167,sample_19704,41,3.7247633934020996,3.6029624938964844,0.0064162216149270535,6,False,False,1.0
data_sample_168,sample_11468,41,3.7909603118896484,3.5896856784820557,0.008967015892267227,10,False,False,1.0
data_sample_169,sample_29601,41,3.9214422702789307,3.7212653160095215,0.00786930788308382,10,False,False,1.0
data_sample_170,sample_3799,41,3.892270565032959,3.7297182083129883,0.008706096559762955,8,False,False,1.0
data_sample_171,sample_6476,41,3.8437325954437256,3.6873891353607178,0.0024972890969365835,8,False,False,1.0
data_sample_172,sample_12240,41,3.829691171646118,3.6354384422302246,0.0019450662657618523,10,False,False,1.0
data_sample_173,sample_13289,41,4.1757588386535645,3.9794631004333496,0.003988290671259165,10,False,False,1.0
data_sample_174,sample_20856,41,3.7680647373199463,3.608569622039795,0.005648922640830278,8,False,False,1.0
data_sample_175,sample_19025,41,3.908376693725586,3.712006092071533,0.004062933381646872,10,False,False,1.0
data_sample_176,sample_23107,41,3.8022727966308594,3.609142780303955,0.0008223892655223608,10,False,False,1.0
data_sample_177,sample_872,41,3.957467794418335,3.7981677055358887,0.0054537951946258545,8,False,False,1.0
data_sample_178,sample_6940,41,3.876417875289917,3.7204947471618652,0.002076912671327591,8,False,False,1.0
data_sample_179,sample_24132,41,3.757291793823242,3.5615127086639404,0.003471341449767351,10,False,False,1.0
data_sample_180,sample_23107,41,3.7012245655059814,3.5428032875061035,0.004574994556605816,8,False,False,1.0
data_sample_181,sample_13351,41,3.7064146995544434,3.5115160942077637,0.002590955700725317,10,False,False,1.0
data_sample_182,sample_19777,41,3.8202767372131348,3.663520097732544,0.0029102673288434744,8,False,False,1.0
data_sample_183,sample_16993,41,3.8589231967926025,3.736562967300415,0.006975710857659578,6,False,False,1.0
data_sample_184,sample_29368,41,3.8431262969970703,3.6482768058776855,0.002541810506954789,10,False,False,1.0
data_sample_185,sample_21657,41,4.025297164916992,3.869657039642334,0.001793931587599218,8,False,False,1.0
data_sample_186,sample_16722,41,3.8216350078582764,3.661024570465088,0.006764201447367668,8,False,False,1.0
data_sample_187,sample_25626,41,3.8828511238098145,3.727663993835449,0.001340791815891862,8,False,False,1.0
data_sample_188,sample_29040,41,3.7839062213897705,3.625683307647705,0.004376564174890518,8,False,False,1.0
data_sample_189,sample_1399,41,3.715414524078369,3.56064772605896,0.0009204154484905303,8,False,False,1.0
data_sample_190,sample_28746,41,3.7751452922821045,3.5742263793945312,0.008611241355538368,10,False,False,1.0
data_sample_191,sample_20092,41,3.886657476425171,3.685824394226074,0.008525369688868523,10,False,False,1.0
data_sample_192,sample_24054,41,3.758612871170044,3.5930261611938477,0.01174054853618145,8,False,False,1.0
data_sample_193,sample_13185,41,3.839390754699707,3.6781222820281982,0.007422112859785557,8,False,False,1.0
data_sample_194,sample_28153,41,3.9129514694213867,3.712272882461548,0.008370932191610336,10,False,False,1.0
data_sample_195,sample_17230,41,3.9500083923339844,3.7514283657073975,0.006272353231906891,10,False,False,1.0
data_sample_196,sample_19688,41,3.7288870811462402,3.643982410430908,0.007981469854712486,4,False,False,1.0
data_sample_197,sample_4662,41,4.0098042488098145,3.812793731689453,0.004702877718955278,10,False,False,1.0
data_sample_198,sample_3029,41,3.8581929206848145,3.6631524562835693,0.0027328424621373415,10,False,False,1.0
data_sample_199,sample_3298,41,4.080101013183594,3.8825414180755615,0.005252194125205278,10,False,False,1.0
data_sample_200,sample_20092,41,3.827951669692993,3.6297237873077393,0.005920277908444405,10,False,False,1.0
data_sample_201,sample_12805,41,4.1367950439453125,3.9742884635925293,0.008660386316478252,8,False,False,1.0
data_sample_202,sample_19144,41,3.840827226638794,3.646486282348633,0.0020331840496510267,10,False,False,1.0
data_sample_203,sample_25115,41,3.7107129096984863,3.517003297805786,0.001401826972141862,10,False,False,1.0
data_sample_204,sample_10365,41,3.814521551132202,3.658519983291626,0.0021552543621510267,8,False,False,1.0
data_sample_205,sample_6137,41,3.7878198623657227,3.593423843383789,0.0020882743410766125,10,False,False,1.0
data_sample_206,sample_29525,41,3.6550838947296143,3.4970479011535645,0.0041897594928741455,8,False,False,1.0
data_sample_207,sample_6941,41,3.7770466804504395,3.579744338989258,0.0049947104416787624,10,False,False,1.0
data_sample_208,sample_20189,41,3.8930232524871826,3.7313318252563477,0.007845131680369377,8,False,False,1.0
data_sample_209,sample_1403,41,3.813689947128296,3.655885696411133,0.00395790534093976,8,False,False,1.0
data_sample_210,sample_5790,41,3.851020097732544,3.6508662700653076,0.00784605648368597,10,False,False,1.0
data_sample_211,sample_22324,41,3.931739568710327,3.775315761566162,0.0025774803943932056,8,False,False,1.0
data_sample_212,sample_24564,41,3.721438407897949,3.5640006065368652,0.003591562155634165,8,False,False,1.0
data_sample_213,sample_22919,41,4.043244361877441,3.8461620807647705,0.00477461377158761,10,False,False,1.0
data_sample_214,sample_1058,41,3.7144618034362793,3.521481513977051,0.0006725757266394794,10,False,False,1.0
data_sample_215,sample_2552,41,3.7873616218566895,3.6241917610168457,0.00932358205318451,8,False,False,1.0
data_sample_216,sample_21671,41,3.7223448753356934,3.5265684127807617,0.0034688313025981188,10,False,False,1.0
data_sample_217,sample_6175,41,3.9828858375549316,3.7851204872131348,0.005457758437842131,10,False,False,1.0
data_sample_218,sample_19777,41,3.8411707878112793,3.6456470489501953,0.0032161036506295204,10,False,False,1.0
data_sample_219,sample_7402,41,4.099230766296387,3.9005393981933594,0.006383854430168867,10,False,False,1.0
data_sample_220,sample_7025,41,3.8757119178771973,3.7178878784179688,0.0039778538048267365,8,False,False,1.0
data_sample_221,sample_24968,41,3.759535789489746,3.6351518630981445,0.008999383077025414,6,False,False,1.0
data_sample_222,sample_15534,41,3.7699482440948486,3.574634552001953,0.0030060475692152977,10,False,False,1.0
data_sample_223,sample_15957,41,3.69142746925354,3.5752134323120117,0.0008295232546515763,6,False,False,1.0
data_sample_224,sample_14980,41,3.7800559997558594,3.6194586753845215,0.006751122418791056,8,False,False,1.0
data_sample_225,sample_1201,41,3.722472906112671,3.5601634979248047,0.008463145233690739,8,False,False,1.0
data_sample_226,sample_10735,41,3.964766025543213,3.771699905395508,0.000758315552957356,10,False,False,1.0
data_sample_227,sample_14663,41,4.028267860412598,3.8301708698272705,0.005789620336145163,10,False,False,1.0
data_sample_228,sample_14761,41,3.9284133911132812,3.768118143081665,0.006448985077440739,8,False,False,1.0
data_sample_229,sample_15621,41,3.7885329723358154,3.6331984996795654,0.0014882273972034454,8,False,False,1.0
data_sample_230,sample_10222,41,3.9967916011810303,3.8017594814300537,0.002724387450143695,10,False,False,1.0
data_sample_231,sample_16722,41,3.8899641036987305,3.6927640438079834,0.004892324563115835,10,False,False,1.0
data_sample_232,sample_3299,41,3.937366247177124,3.7793049812316895,0.004214992746710777,8,False,False,1.0
data_sample_233,sample_27718,41,3.6387741565704346,3.4439613819122314,0.0025049515534192324,10,False,False,1.0
data_sample_234,sample_271,41,3.976367712020874,3.8148951530456543,0.007626223843544722,8,False,False,1.0
data_sample_235,sample_17166,41,3.601506233215332,3.4827702045440674,0.0033515170216560364,6,False,False,1.0
data_sample_236,sample_29186,41,3.711225986480713,3.5153884887695312,0.0035298664588481188,10,False,False,1.0
data_sample_237,sample_20114,41,3.904783010482788,3.747471332550049,0.0034655285999178886,8,False,False,1.0
data_sample_238,sample_27313,41,3.9969522953033447,3.8423514366149902,0.0007544843829236925,8,False,False,1.0
data_sample_239,sample_21657,41,4.032116889953613,3.8751659393310547,0.0031049984972923994,8,False,False,1.0
data_sample_240,sample_12209,41,3.8395097255706787,3.6819443702697754,0.003719181288033724,8,False,False,1.0
data_sample_241,sample_3830,41,3.8892998695373535,3.72745418548584,0.007999436929821968,8,False,False,1.0
data_sample_242,sample_5635,41,3.874321460723877,3.6756157875061035,0.006397858262062073,10,False,False,1.0
data_sample_243,sample_6940,41,3.88497257232666,3.6870789527893066,0.005585905630141497,10,False,False,1.0
data_sample_244,sample_10533,41,3.8448903560638428,3.687499761581421,0.0035443988163024187,8,False,False,1.0
data_sample_245,sample_21506,41,3.890948534011841,3.735196352005005,0.0019059614278376102,8,False,False,1.0
data_sample_246,sample_2008,41,3.8874459266662598,3.7295680046081543,0.004031623248010874,8,False,False,1.0
data_sample_247,sample_27718,41,3.8816487789154053,3.726297378540039,0.0015051375376060605,8,False,False,1.0
data_sample_248,sample_21456,41,3.882587432861328,3.686525821685791,0.003753926372155547,10,False,False,1.0
data_sample_249,sample_17696,41,3.9805877208709717,3.8090062141418457,0.017735203728079796,8,False,False,1.0
data_sample_250,sample_3298,41,3.855245590209961,3.694638729095459,0.006760634481906891,8,False,False,1.0
data_sample_251,sample_24988,41,3.927485942840576,3.7636735439300537,0.00996603723615408,8,False,False,1.0
data_sample_252,sample_17696,41,4.098938941955566,3.896406412124634,0.0102248415350914,10,False,False,1.0
data_sample_253,sample_13680,41,4.089511394500732,3.8904528617858887,0.006750858388841152,10,False,False,1.0
data_sample_254,sample_12176,41,3.856560230255127,3.6620092391967773,0.002243372378870845,10,False,False,1.0
data_sample_255,sample_13064,41,3.7802634239196777,3.583190441131592,0.0047652339562773705,10,False,False,1.0
data_sample_256,sample_27891,41,4.0183868408203125,3.8199665546417236,0.006112631410360336,10,False,False,1.0
data_sample_257,sample_18616,41,3.756866216659546,3.563020706176758,0.0015379010001197457,10,False,False,1.0
data_sample_258,sample_10222,41,3.813180685043335,3.6143765449523926,0.006496413145214319,10,False,False,1.0
data_sample_259,sample_26536,41,3.920816659927368,3.723496675491333,0.005012281239032745,10,False,False,1.0
data_sample_260,sample_16071,41,3.6938462257385254,3.5004687309265137,0.0010698327096179128,10,False,False,1.0
data_sample_261,sample_17157,41,3.8736703395843506,3.6807303428649902,0.0006322819390334189,10,False,False,1.0
data_sample_262,sample_8182,41,3.911578893661499,3.711244821548462,0.008026255294680595,10,False,False,1.0
data_sample_263,sample_18466,41,3.734921455383301,3.575868606567383,0.005206483881920576,8,False,False,1.0
data_sample_264,sample_25115,41,3.657291889190674,3.5008184909820557,0.002627153880894184,8,False,False,1.0
data_sample_265,sample_1044,41,3.6869404315948486,3.5266616344451904,0.006432471331208944,8,False,False,1.0
data_sample_266,sample_18616,41,3.807511568069458,3.613852024078369,0.001351756975054741,10,False,False,1.0
data_sample_267,sample_23204,41,3.986876964569092,3.830498695373535,0.002531902166083455,8,False,False,1.0
data_sample_268,sample_12276,41,3.8767220973968506,3.6803598403930664,0.004054478369653225,10,False,False,1.0
data_sample_269,sample_10753,41,3.8390934467315674,3.6759772300720215,0.009269945323467255,8,False,False,1.0
data_sample_270,sample_1610,41,3.763005256652832,3.6073992252349854,0.0017598470440134406,8,False,False,1.0
data_sample_271,sample_3355,41,4.025280475616455,3.8704373836517334,0.000997171737253666,8,False,False,1.0
data_sample_272,sample_24564,41,3.8704025745391846,3.6677656173706055,0.010329341515898705,10,False,False,1.0
data_sample_273,sample_19688,41,3.7590322494506836,3.5582962036132812,0.008428268134593964,10,False,False,1.0
data_sample_274,sample_17039,41,3.8643147945404053,3.743690013885498,0.005240303929895163,6,False,False,1.0
data_sample_275,sample_20856,41,3.7932989597320557,3.595065116882324,0.005926090758293867,10,False,False,1.0
data_sample_276,sample_24362,41,3.83731746673584,3.6427717208862305,0.0022379558067768812,10,False,False,1.0
data_sample_277,sample_3658,41,3.6598434448242188,3.4642324447631836,0.0033032966312021017,10,False,False,1.0
data_sample_278,sample_5064,41,3.9306440353393555,3.735046148300171,0.0032902176026254892,10,False,False,1.0
data_sample_279,sample_12551,41,3.8107659816741943,3.655022382736206,0.00189737428445369,8,False,False,1.0
data_sample_280,sample_29313,41,3.7787954807281494,3.6221508979797363,0.00279823737218976,8,False,False,1.0
data_sample_281,sample_22303,41,3.7322134971618652,3.5384931564331055,0.0014126599999144673,10,False,False,1.0
data_sample_282,sample_10434,41,3.7545888423919678,3.599107265472412,0.0016352665843442082,8,False,False,1.0
data_sample_283,sample_26087,41,3.8548903465270996,3.6979246139526367,0.0031195306219160557,8,False,False,1.0
data_sample_284,sample_6824,41,3.6763784885406494,3.518101215362549,0.004431125707924366,8,False,False,1.0
data_sample_285,sample_27161,41,3.8535380363464355,3.6518564224243164,0.009373916313052177,10,False,False,1.0
data_sample_286,sample_10222,41,3.8620622158050537,3.664649486541748,0.005105022806674242,10,False,False,1.0
data_sample_287,sample_7009,41,4.016361713409424,3.818073272705078,0.00598078453913331,10,False,False,1.0
data_sample_288,sample_17333,41,3.7055866718292236,3.5103557109832764,0.0029232141096144915,10,False,False,1.0
data_sample_289,sample_20292,41,3.756749153137207,3.563424825668335,0.0010165920248255134,10,False,False,1.0
data_sample_290,sample_23064,41,3.916787624359131,3.7216477394104004,0.002832189667969942,10,False,False,1.0
data_sample_291,sample_13830,41,3.968371868133545,3.7733421325683594,0.0027221415657550097,10,False,False,1.0
data_sample_292,sample_8384,41,3.707075595855713,3.5121870040893555,0.0025809151120483875,10,False,False,1.0
data_sample_293,sample_21671,41,3.9141130447387695,3.7192089557647705,0.002596372039988637,10,False,False,1.0
data_sample_294,sample_7009,41,3.915212869644165,3.7173163890838623,0.005588680040091276,10,False,False,1.0
data_sample_295,sample_22919,41,4.121717929840088,3.9220972061157227,0.007313253358006477,10,False,False,1.0
data_sample_296,sample_11468,41,3.8928208351135254,3.7318878173828125,0.007086815778166056,8,False,False,1.0
data_sample_297,sample_7906,41,3.6000711917877197,3.403982162475586,0.0037814052775502205,10,False,False,1.0
data_sample_298,sample_14955,41,3.8862485885620117,3.6899771690368652,0.003963718190789223,10,False,False,1.0
data_sample_299,sample_18611,41,4.0348286628723145,3.833397388458252,0.009123698808252811,10,False,False,1.0
data_sample_300,sample_3828,41,3.857011318206787,3.6613383293151855,0.003365256590768695,10,False,False,1.0
data_sample_301,sample_7102,41,3.697145938873291,3.5387024879455566,0.004597188904881477,8,False,False,1.0
data_sample_302,sample_23584,41,3.9537227153778076,3.797267436981201,0.0026090547908097506,8,False,False,1.0
data_sample_303,sample_22683,41,3.7441914081573486,3.585545539855957,0.004799714777618647,8,False,False,1.0
data_sample_304,sample_1477,41,3.9783217906951904,3.8094396591186523,0.015035917982459068,8,False,False,1.0
data_sample_305,sample_20416,41,3.66890549659729,3.510993242263794,0.0040659718215465546,8,False,False,1.0
data_sample_306,sample_16993,41,3.811504364013672,3.655261516571045,0.0023964885622262955,8,False,False,1.0
data_sample_307,sample_17166,41,3.6617252826690674,3.46598219871521,0.0034354072995483875,10,False,False,1.0
data_sample_308,sample_29159,41,3.8883914947509766,3.6943416595458984,0.0017421441152691841,10,False,False,1.0
data_sample_309,sample_27269,41,3.668269634246826,3.4709548950195312,0.005007128696888685,10,False,False,1.0
data_sample_310,sample_10496,41,3.616112232208252,3.4157707691192627,0.008033785037696362,10,False,False,1.0
data_sample_311,sample_16490,41,3.891587734222412,3.692063570022583,0.0072165485471487045,10,False,False,1.0
data_sample_312,sample_13289,41,3.9863762855529785,3.7919764518737793,0.002092105569317937,10,False,False,1.0
data_sample_313,sample_5644,41,3.7521581649780273,3.557868003845215,0.0019824535120278597,10,False,False,1.0
data_sample_314,sample_4637,41,3.7184267044067383,3.5635781288146973,0.0010023240465670824,8,False,False,1.0
data_sample_315,sample_26086,41,3.9846677780151367,3.7895917892456055,0.0027683803346008062,10,False,False,1.0
data_sample_316,sample_16490,41,3.84682297706604,3.6492090225219727,0.005306227598339319,10,False,False,1.0
data_sample_317,sample_12176,41,3.951298475265503,3.794745445251465,0.00270668463781476,8,False,False,1.0
data_sample_318,sample_27854,41,3.548698902130127,3.348984718322754,0.007406523916870356,10,False,False,1.0
data_sample_319,sample_9339,41,3.850297689437866,3.6533803939819336,0.0046096076257526875,10,False,False,1.0
data_sample_320,sample_22175,41,3.913447380065918,3.7166810035705566,0.004458737093955278,10,False,False,1.0
data_sample_321,sample_15984,41,3.6822216510772705,3.524366855621338,0.004008503630757332,8,False,False,1.0
data_sample_322,sample_10222,41,3.7499263286590576,3.5514347553253174,0.006183971185237169,10,False,False,1.0
data_sample_323,sample_4203,41,3.7031781673431396,3.547243595123291,0.0020882743410766125,8,False,False,1.0
data_sample_324,sample_4633,41,3.7918453216552734,3.594076156616211,0.005461457651108503,10,False,False,1.0
data_sample_325,sample_29365,41,3.84340238571167,3.648524522781372,0.0025702142156660557,10,False,False,1.0
data_sample_326,sample_12240,41,3.7007133960723877,3.5441102981567383,0.002756886649876833,8,False,False,1.0
data_sample_327,sample_10111,41,4.010785102844238,3.8149921894073486,0.0034852130338549614,10,False,False,1.0
data_sample_328,sample_24965,41,3.7941603660583496,3.597784996032715,0.004067557398229837,10,False,False,1.0
data_sample_329,sample_8955,41,3.8755805492401123,3.6784017086029053,0.00487105455249548,10,False,False,1.0
data_sample_330,sample_9304,41,3.6886308193206787,3.4890365600585938,0.0072865672409534454,10,False,False,1.0
data_sample_331,sample_6137,41,3.7971134185791016,3.599331855773926,0.005473743658512831,10,False,False,1.0
data_sample_332,sample_10753,41,3.8524045944213867,3.69217848777771,0.0063797589391469955,8,False,False,1.0
data_sample_333,sample_145,41,3.9702038764953613,3.8111391067504883,0.005218505859375,8,False,False,1.0
data_sample_334,sample_21456,41,3.7869973182678223,3.627326488494873,0.005824497900903225,8,False,False,1.0
data_sample_335,sample_23462,41,3.9818570613861084,3.7877864837646484,0.0017628856003284454,10,False,False,1.0
data_sample_336,sample_5644,41,3.894949197769165,3.737757444381714,0.003345572156831622,8,False,False,1.0
data_sample_337,sample_16071,41,4.072669982910156,3.874094009399414,0.006268521770834923,10,False,False,1.0
data_sample_338,sample_13969,41,3.972944498062134,3.775604486465454,0.005032361950725317,10,False,False,1.0
data_sample_339,sample_14138,41,3.692476272583008,3.495938301086426,0.004230317659676075,10,False,False,1.0
data_sample_340,sample_991,41,4.093618869781494,3.8960025310516357,0.005308869760483503,10,False,False,1.0
