epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
270,0.030000,-0.1115,0.6243,0.1157,0.4966,-0.4608,0.5571,-0.1386,0.9318,1.1902,-3.3077,2.2391,2.2993,3.4547,3.9493
275,0.030000,-0.1145,0.6270,0.1145,0.4959,-0.4642,0.5584,-0.1480,0.9279,1.1935,-3.2181,1.9305,2.3027,3.2961,3.7917
280,0.030000,-0.1072,0.6257,0.1249,0.4981,-0.4402,0.5557,-0.1459,0.9638,1.1964,-3.0256,1.9483,2.3426,3.2924,3.7915
285,0.030000,-0.0974,0.6236,0.1266,0.5007,-0.4663,0.5573,-0.1575,0.9933,1.1983,-2.8286,2.2579,2.3737,3.3425,3.8414
290,0.030000,-0.0904,0.6246,0.1331,0.4957,-0.4552,0.5632,-0.1403,1.0006,1.1927,-2.6259,2.5405,2.3737,3.2110,3.7154
295,0.030000,-0.0605,0.6131,0.1396,0.4994,-0.4804,0.5529,-0.1512,1.0182,1.2088,-2.2747,2.8289,2.4186,3.1901,3.7060
300,0.030000,-0.0574,0.6184,0.1542,0.4997,-0.4557,0.5541,-0.1328,1.0298,1.1966,-2.0466,2.9900,2.4059,3.1965,3.7080
305,0.030000,-0.0437,0.6095,0.1575,0.4969,-0.4593,0.5562,-0.1195,1.0267,1.1930,-2.0220,2.9941,2.4011,3.2113,3.7274
310,0.030000,-0.0200,0.6138,0.1646,0.5009,-0.4703,0.5558,-0.1154,1.0293,1.1860,-1.9299,2.8117,2.3888,3.1609,3.6708
315,0.030000,0.0079,0.5979,0.1746,0.5012,-0.4532,0.5612,-0.0882,1.0441,1.1882,-1.9346,3.0224,2.4075,3.1845,3.6957
320,0.030000,0.0147,0.5994,0.1806,0.5004,-0.4559,0.5562,-0.0794,1.0398,1.1914,-2.0092,3.2370,2.4077,3.0905,3.6040
