K,n_gen,n_train,baseline_combined_median,gen_to_train_combined_median,median_ratio_gen_over_base,occ_exact,occ_ham_median,hm_mse_median,imp_mse_median
25,100,599,0.3378658890724182,4.1987388134002686,12.427235033780846,0,14.0,3.9057836532592773,0.009242994710803032
26,100,631,0.3356754928827286,4.17630410194397,12.441492424956389,0,16.0,3.8869086503982544,0.009782337117940187
27,100,630,0.3330969214439392,4.153771877288818,12.470159914065448,0,16.0,3.8528480529785156,0.007958944886922836
28,100,584,0.328336238861084,4.054410696029663,12.348349698142966,0,14.0,3.7584216594696045,0.009242532309144735
29,100,630,0.3151146173477173,4.1052327156066895,13.027744476470025,0,14.0,3.814992308616638,0.007758862804621458
30,100,613,0.3226315975189209,4.134799242019653,12.815853356635863,0,14.0,3.8363617658615112,0.008397420402616262
31,100,609,0.30935409665107727,4.1177756786346436,13.310881359619144,0,14.0,3.836815357208252,0.007390340091660619
32,100,622,0.2993086576461792,4.096136808395386,13.685326848238178,0,14.0,3.8158373832702637,0.007707472192123532
33,100,606,0.2933753579854965,4.075266599655151,13.890964216076453,0,14.0,3.8022431135177612,0.006210789550095797
34,100,642,0.28742073476314545,4.001607179641724,13.922472165897581,0,14.0,3.741404175758362,0.0063968675676733255
35,100,585,0.2828652709722519,3.975522994995117,14.05447540919614,0,12.0,3.7245352268218994,0.005806662840768695
36,100,615,0.2637319713830948,4.04450535774231,15.335665738710519,0,12.0,3.8009514808654785,0.006523561663925648
37,100,609,0.24983219057321548,3.922408103942871,15.700170962530049,0,12.0,3.6958361864089966,0.00566946598701179
38,100,589,0.24426737427711487,3.946855664253235,16.157932167296448,0,12.0,3.720700263977051,0.005254506133496761
39,100,622,0.22364264726638794,3.928067445755005,17.564035722918973,0,10.0,3.7248785495758057,0.004770518513396382
40,100,598,0.2069246768951416,3.878346085548401,18.74279154976639,0,10.0,3.6774213314056396,0.0038500368827953935
41,100,594,0.20060579478740692,3.851719379425049,19.20043926700587,0,10.0,3.667208433151245,0.004342545755207539
42,100,632,0.17443004250526428,3.843300938606262,22.033480491127392,0,8.0,3.6784005165100098,0.003647246863692999
43,100,628,0.16210313141345978,3.8228065967559814,23.58255860588863,0,8.0,3.6743186712265015,0.003551664878614247
44,100,612,0.1453896462917328,3.7450238466262817,25.758531932264788,0,6.0,3.6245357990264893,0.00319846672937274
45,100,609,0.12262678891420364,3.7030667066574097,30.197860838126292,0,6.0,3.5859090089797974,0.002627220004796982
46,100,618,0.1176888644695282,3.7103495597839355,31.526768284391196,0,4.0,3.6118475198745728,0.002581443637609482
47,100,606,0.08091393858194351,3.6195207834243774,44.73296995373425,2,4.0,3.5368252992630005,0.0018484272877685726
48,100,586,0.07779647409915924,3.59039306640625,46.15110270717336,0,4.0,3.5339648723602295,0.0015651818248443305
49,100,610,0.03924461081624031,3.6241791248321533,92.34845369730067,1,2.0,3.583101511001587,0.0013861057232134044
50,100,601,0.03862859308719635,3.5493892431259155,91.8850250412661,47,2.0,3.535627841949463,0.0009740523819345981
51,100,52,0.03885553404688835,3.4304341077804565,88.28688607498819,100,0.0,3.429866075515747,0.0009993515559472144
