K,n_train,n_gen,baseline_combined_median,combined_p10,combined_median,combined_p90,median_ratio_gen_over_base,hm_median,imp_median,ham_median,occ_exact,occ_exact_rate,nn_mode_frac,nn_mode_sample
17,590,100,0.31236521899700165,4.088410377502441,4.220951557159424,4.35420069694519,13.512873074386492,3.95915150642395,0.01106473570689559,14.0,0,0.0,0.02,sample_944
18,597,100,0.3210471421480179,4.005751466751098,4.181659936904907,4.344329071044922,13.025065131951758,3.910106658935547,0.010685974266380072,14.0,0,0.0,0.03,sample_26231
19,631,100,0.3224828243255615,3.894048738479614,4.156481027603149,4.366998624801636,12.888999705010606,3.8898112773895264,0.010758503340184689,14.0,0,0.0,0.03,sample_24649
20,638,100,0.332688644528389,4.015374326705933,4.187711715698242,4.345550584793091,12.587480169738395,3.912468910217285,0.01031038397923112,14.0,0,0.0,0.02,sample_19616
21,623,100,0.33361653983592987,4.039677572250366,4.198070526123047,4.337171030044556,12.583520373982736,3.919696807861328,0.011297646909952164,14.0,0,0.0,0.03,sample_6987
22,580,100,0.3385944068431854,3.9913849592208863,4.189518690109253,4.352507305145264,12.37326608306782,3.8993061780929565,0.008748570457100868,14.0,0,0.0,0.02,sample_13646
23,611,100,0.33490438759326935,3.9998564958572387,4.187527418136597,4.38787431716919,12.503650514194561,3.903449058532715,0.008733708411455154,14.0,0,0.0,0.03,sample_20112
24,583,100,0.33808577060699463,3.933634328842163,4.124725580215454,4.316087007522583,12.20023419740493,3.830312490463257,0.009453051257878542,14.0,0,0.0,0.03,sample_19567
25,599,100,0.3378658890724182,4.030739498138428,4.1987388134002686,4.341789388656617,12.427235033780846,3.9057836532592773,0.009242994710803032,14.0,0,0.0,0.03,sample_10167
26,631,100,0.3356754928827286,3.9794865608215333,4.17630410194397,4.357771635055542,12.441492424956389,3.8869086503982544,0.009782337117940187,16.0,0,0.0,0.03,sample_23184
27,630,100,0.3330969214439392,4.01049222946167,4.153771877288818,4.311306667327881,12.470159914065448,3.8528480529785156,0.007958944886922836,16.0,0,0.0,0.02,sample_8768
28,584,100,0.328336238861084,3.8871522665023805,4.054410696029663,4.177602052688599,12.348349698142966,3.7584216594696045,0.009242532309144735,14.0,0,0.0,0.03,sample_18424
29,630,100,0.3151146173477173,3.9336036443710327,4.1052327156066895,4.248898839950561,13.027744476470025,3.814992308616638,0.007758862804621458,14.0,0,0.0,0.03,sample_18241
30,613,100,0.3226315975189209,3.927597403526306,4.134799242019653,4.29551100730896,12.815853356635863,3.8363617658615112,0.008397420402616262,14.0,0,0.0,0.04,sample_23350
31,609,100,0.30935409665107727,3.9677977561950684,4.1177756786346436,4.242472696304321,13.310881359619144,3.836815357208252,0.007390340091660619,14.0,0,0.0,0.02,sample_9838
32,622,100,0.2993086576461792,3.9220573902130127,4.096136808395386,4.248696660995483,13.685326848238178,3.8158373832702637,0.007707472192123532,14.0,0,0.0,0.02,sample_16317
33,606,100,0.2933753579854965,3.908743691444397,4.075266599655151,4.254721069335938,13.890964216076453,3.8022431135177612,0.006210789550095797,14.0,0,0.0,0.03,sample_9692
34,642,100,0.28742073476314545,3.8610541105270384,4.001607179641724,4.128841304779053,13.922472165897581,3.741404175758362,0.0063968675676733255,14.0,0,0.0,0.02,sample_3190
35,585,100,0.2828652709722519,3.830831003189087,3.975522994995117,4.087572622299194,14.05447540919614,3.7245352268218994,0.005806662840768695,12.0,0,0.0,0.03,sample_22764
36,615,100,0.2637319713830948,3.8963549852371218,4.04450535774231,4.215096855163575,15.335665738710519,3.8009514808654785,0.006523561663925648,12.0,0,0.0,0.03,sample_12492
37,609,100,0.24983219057321548,3.7660699844360352,3.922408103942871,4.077868795394898,15.700170962530049,3.6958361864089966,0.00566946598701179,12.0,0,0.0,0.02,sample_17308
38,589,100,0.24426737427711487,3.75486798286438,3.946855664253235,4.143911457061767,16.157932167296448,3.720700263977051,0.005254506133496761,12.0,0,0.0,0.02,sample_23790
39,622,100,0.22364264726638794,3.8075515747070314,3.928067445755005,4.058171081542969,17.564035722918973,3.7248785495758057,0.004770518513396382,10.0,0,0.0,0.03,sample_2588
40,598,100,0.2069246768951416,3.7445652008056642,3.878346085548401,4.002069878578186,18.74279154976639,3.6774213314056396,0.0038500368827953935,10.0,0,0.0,0.03,sample_22290
41,594,100,0.20060579478740692,3.6903864622116087,3.851719379425049,4.011352109909057,19.20043926700587,3.667208433151245,0.004342545755207539,10.0,0,0.0,0.02,sample_23718
42,632,100,0.17443004250526428,3.71791090965271,3.843300938606262,4.006470775604248,22.033480491127392,3.6784005165100098,0.003647246863692999,8.0,0,0.0,0.04,sample_19686
43,628,100,0.16210313141345978,3.686362648010254,3.8228065967559814,3.97227087020874,23.58255860588863,3.6743186712265015,0.003551664878614247,8.0,0,0.0,0.02,sample_3850
44,612,100,0.1453896462917328,3.6041022062301638,3.7450238466262817,3.9284022092819213,25.758531932264788,3.6245357990264893,0.00319846672937274,6.0,0,0.0,0.03,sample_13484
45,609,100,0.12262678891420364,3.5695011138916017,3.7030667066574097,3.8630027055740355,30.197860838126292,3.5859090089797974,0.002627220004796982,6.0,0,0.0,0.03,sample_5454
46,618,100,0.1176888644695282,3.5722392559051515,3.7103495597839355,3.8002838850021363,31.526768284391196,3.6118475198745728,0.002581443637609482,4.0,0,0.0,0.03,sample_1765
47,606,100,0.08091393858194351,3.5236584424972532,3.6195207834243774,3.756922292709351,44.73296995373425,3.5368252992630005,0.0018484272877685726,4.0,2,0.02,0.03,sample_28458
48,586,100,0.07779647409915924,3.4961138486862184,3.59039306640625,3.7362517356872558,46.15110270717336,3.5339648723602295,0.0015651818248443305,4.0,0,0.0,0.03,sample_7075
49,610,100,0.03924461081624031,3.5130409240722655,3.6241791248321533,3.793327236175537,92.34845369730067,3.583101511001587,0.0013861057232134044,2.0,1,0.01,0.03,sample_28755
50,601,100,0.03862859308719635,3.451562738418579,3.5493892431259155,3.6508416652679445,91.8850250412661,3.535627841949463,0.0009740523819345981,2.0,47,0.47,0.04,sample_4350
51,52,100,0.03885553404688835,3.3352733612060548,3.4304341077804565,3.564140868186951,88.28688607498819,3.429866075515747,0.0009993515559472144,0.0,100,1.0,0.08,sample_29952
52,1,100,,3.336809492111206,3.456560492515564,3.573390054702759,,3.4559872150421143,0.001238670141901821,0.0,100,1.0,1.0,sample_30000
