candidate_id,mhz,k,badness,quality_score,uncertainty,p99_var,peak_loc_spread_px,pred_p99_mean,selected_reason
1748,200.0,5,90.39276624923363,-90.39276624923363,90.39276624923363,57.501531347920896,32.89123490131274,13.697729031244913,worst_uncertainty_stratified_mhz
1863,200.0,5,87.92209328168133,-87.92209328168133,87.92209328168133,54.98064691257227,32.941446369109066,11.370735367139181,worst_uncertainty_stratified_mhz
1900,200.0,5,85.72601971286123,-85.72601971286123,85.72601971286123,41.647806399605344,44.07821331325589,10.170264800389608,worst_uncertainty_stratified_mhz
1612,90.0,5,85.63093840235646,-85.63093840235646,85.63093840235646,43.96293842368912,41.667999978667346,11.437134901682535,worst_uncertainty_stratified_mhz
1913,200.0,5,85.35903363168948,-85.35903363168948,85.35903363168948,43.85468312344624,41.50435050824324,8.677193204561869,worst_uncertainty_stratified_mhz
2173,250.0,5,80.80698524649995,-80.80698524649995,80.80698524649995,49.304780738102615,31.502204508397327,10.705766916275024,worst_uncertainty_stratified_mhz
2162,200.0,5,79.68791525729839,-79.68791525729839,79.68791525729839,47.01104610222513,32.676869155073256,10.725673158963522,worst_uncertainty_stratified_mhz
2154,250.0,5,77.57896376140738,-77.57896376140738,77.57896376140738,35.99337598016867,41.585587781238715,10.112507343292236,worst_uncertainty_stratified_mhz
2216,200.0,5,77.15008885738408,-77.15008885738408,77.15008885738408,39.52178981412556,37.62829904325851,9.429673473040262,worst_uncertainty_stratified_mhz
1986,250.0,5,75.33291255238257,-75.33291255238257,75.33291255238257,37.79589378719853,37.53701876518403,9.532660682996115,worst_uncertainty_stratified_mhz
1646,200.0,5,74.94911174594867,-74.94911174594867,74.94911174594867,33.28111176728132,41.667999978667346,9.306244572003683,worst_uncertainty_stratified_mhz
2237,250.0,5,74.86662229593989,-74.86662229593989,74.86662229593989,33.447356783915716,41.41926551202418,11.304956277211508,worst_uncertainty_stratified_mhz
2190,250.0,5,74.48353825282506,-74.48353825282506,74.48353825282506,30.40532493956917,44.07821331325589,10.207420229911804,worst_uncertainty_stratified_mhz
2204,200.0,5,73.14520063603847,-73.14520063603847,73.14520063603847,35.65557244073327,37.489628195305194,10.187956968943277,worst_uncertainty_stratified_mhz
2114,250.0,5,72.90012187323296,-72.90012187323296,72.90012187323296,40.0097315171156,32.89039035611736,9.495747129122416,worst_uncertainty_stratified_mhz
2102,200.0,5,72.16608203534514,-72.16608203534514,72.16608203534514,42.583335562292824,29.582746473052314,11.212558348973593,worst_uncertainty_stratified_mhz
2009,90.0,5,71.88914001657898,-71.88914001657898,71.88914001657898,40.389140016578985,31.5,10.882378975550333,worst_uncertainty_stratified_mhz
1655,90.0,5,71.70718645415937,-71.70718645415937,71.70718645415937,48.228472690411586,23.47871376374779,11.780200640360514,worst_uncertainty_stratified_mhz
1638,250.0,5,71.3736039693815,-71.3736039693815,71.3736039693815,28.523736862106706,42.849867107274804,8.70669949054718,worst_uncertainty_stratified_mhz
2205,95.0,5,68.2464658901753,-68.2464658901753,68.2464658901753,38.5479810803403,29.698484809834994,10.886190414428711,worst_uncertainty_stratified_mhz
2262,100.0,5,67.49955466736772,-67.49955466736772,67.49955466736772,29.871255624109207,37.62829904325851,8.150285402933756,worst_uncertainty_stratified_mhz
2768,90.0,6,77.39077930742161,-77.39077930742161,77.39077930742161,45.89077930742161,31.5,10.480897188186646,worst_uncertainty_stratified_mhz
2589,90.0,6,72.66946917078313,-72.66946917078313,72.66946917078313,29.698871988265154,42.97059718251798,9.532172838846842,worst_uncertainty_stratified_mhz
2817,100.0,6,65.70845153821634,-65.70845153821634,65.70845153821634,34.208451538216345,31.5,9.726088047027588,worst_uncertainty_stratified_mhz
2957,200.0,6,226.2773819550193,-226.2773819550193,226.2773819550193,195.2590182185343,31.01836373648502,11.799450516700745,worst_uncertainty_stratified_mhz
3048,265.0,6,48.82263606592223,-48.82263606592223,48.82263606592223,4.744422752666348,44.07821331325589,8.34802770614624,worst_uncertainty_stratified_mhz
3001,265.0,6,48.683684285986644,-48.683684285986644,48.683684285986644,7.802419900234359,40.88126438575228,9.326504151026407,worst_uncertainty_stratified_mhz
2865,435.0,6,45.41355568513386,-45.41355568513386,45.41355568513386,1.2179676700389592,44.1955880150949,4.387892127037048,worst_uncertainty_stratified_mhz
2445,435.0,6,44.13860132891413,-44.13860132891413,44.13860132891413,3.4200551859094617,40.718546143004666,5.283404111862183,worst_uncertainty_stratified_mhz
3087,510.0,6,65.09554095984807,-65.09554095984807,65.09554095984807,31.880333599363322,33.21520736048475,15.720283587773642,worst_uncertainty_stratified_mhz
3000,510.0,6,62.940338534624445,-62.940338534624445,62.940338534624445,29.25841130024217,33.68192723438227,15.749982595443726,worst_uncertainty_stratified_mhz
2724,200.0,6,133.4340914521335,-133.4340914521335,133.4340914521335,95.8497418723771,37.58434957975638,8.559192697207132,worst_uncertainty_stratified_mhz
2577,250.0,6,115.44975719394928,-115.44975719394928,115.44975719394928,86.1026960122909,29.34706118165838,14.223386605580648,worst_uncertainty_stratified_mhz
3090,170.0,6,100.06504447633053,-100.06504447633053,100.06504447633053,60.999216840289215,39.06582763604131,11.097103595733643,worst_uncertainty_stratified_mhz
