522,102.96,0.00,102.96,0,8.506345,
523,101.77,0.00,101.77,0,8.391959,
524,103.82,0.00,103.82,0,8.825296,
525,104.01,86.70,190.71,1,8.361244,3.5292
526,102.54,0.00,102.54,0,8.561315,
527,105.60,0.00,105.60,0,8.511074,
528,103.43,0.00,103.43,0,8.514795,
529,102.77,0.00,102.77,0,8.735287,
530,103.64,0.00,103.64,0,8.382326,
531,103.09,0.00,103.09,0,8.749733,
