candidate_id,mhz,k,badness,quality_score,uncertainty,heatmap_mc_mse,decoder_mc_rce,epistemic_score,disagreement_score,prior_tension_score,peak_bias_score,p99_var,p99_mc_range,peak_loc_spread_px,pred_p99_mean,selected_reason
6529,230.0,7,30.23249250848277,-30.23249250848277,30.23249250848277,0.31599646393270275,0.1295052777823963,0.44550174171509904,23.87575117891271,16.752233358904036,0.0,0.8715322727459514,2.520113229751587,43.48832458258193,4.866553217172623,worst_uncertainty_stratified_mhz
7545,230.0,7,29.883704186841996,-29.883704186841996,29.883704186841996,0.13753199369717248,0.11336759649847233,0.2508995901956448,24.28590043529359,15.140535337207712,0.0,1.3031965598123492,3.5124926567077637,42.45291509425472,5.980998873710632,worst_uncertainty_stratified_mhz
7998,230.0,7,29.295517259826628,-29.295517259826628,29.295517259826628,0.022680015242183882,0.028945032258217977,0.05162504750040186,23.090162763993813,17.47442104969113,0.0,0.33362763389672434,2.002295732498169,43.51077452769601,3.8320938646793365,worst_uncertainty_stratified_mhz
7565,230.0,7,28.911597225421037,-28.911597225421037,28.911597225421037,0.166928589170298,0.08092057274790691,0.24784916191820489,22.368884577955765,17.805695892711814,0.0,0.7080274160533513,2.7615737915039062,40.56014053230092,3.345970571041107,worst_uncertainty_stratified_mhz
7262,230.0,7,28.798786159593856,-28.798786159593856,28.798786159593856,0.013148874492809428,0.025621826194692252,0.03877070068750168,22.619567520989673,17.459686779208244,0.0,0.17994313460596345,1.3684742450714111,43.51077452769601,3.5878889560699463,worst_uncertainty_stratified_mhz
7604,230.0,7,28.073747582376143,-28.073747582376143,28.073747582376143,0.12428223263534278,0.19607525508586945,0.32035748772121225,23.31052196743824,12.535605210037676,0.0,2.638807442418667,4.936870574951172,36.40655847508798,7.3296743631362915,worst_uncertainty_stratified_mhz
6416,230.0,7,27.835469127720774,-27.835469127720774,27.835469127720774,0.021242242811308053,0.02693357855853043,0.04817582136983849,22.32590267973663,15.529888208415082,0.0,0.2453068081146874,1.4356870651245117,42.72550467811937,4.775253355503082,worst_uncertainty_stratified_mhz
7269,250.0,7,31.837329491234996,-31.837329491234996,31.837329491234996,0.12898916011817538,0.0911330614013029,0.22012222151947827,24.171044804577,20.987013705104932,0.0,0.918527212377606,2.309447169303894,44.1955880150949,2.379159078001976,worst_uncertainty_stratified_mhz
7505,250.0,7,31.51490797860235,-31.51490797860235,31.51490797860235,0.3031227990068924,0.3865825186274466,0.689705317634339,26.026044829308862,13.563992913497557,0.0,2.88287962942837,6.248847961425781,40.0374824383352,8.200802981853485,worst_uncertainty_stratified_mhz
7578,250.0,7,30.20200219306475,-30.20200219306475,30.20200219306475,0.009488775502128323,0.029014680631501526,0.03850345613362985,23.63431421766909,18.515931419827727,0.0,0.503195423684736,2.154592275619507,44.1076453123492,3.64834526181221,worst_uncertainty_stratified_mhz
7768,250.0,7,29.813460071171622,-29.813460071171622,29.813460071171622,0.35928579666845467,0.4215278437100203,0.7808136403784749,23.98207867380443,14.255895827021346,0.0,2.9828738869135663,5.6476874351501465,36.35072213863158,7.077788710594177,worst_uncertainty_stratified_mhz
7540,250.0,7,29.290803441430636,-29.290803441430636,29.290803441430636,0.06912415731391719,0.02028972385423315,0.08941388116815034,22.401130143600373,19.32798543205972,0.0,0.11211201925581804,1.0897116661071777,43.48832458258193,2.360326409339905,worst_uncertainty_stratified_mhz
7929,250.0,7,28.764118409756648,-28.764118409756648,28.764118409756648,0.018605648889634854,0.029820746543824873,0.048426395433459724,22.02556821263817,19.015718726604817,0.0,0.10374997548991516,1.0514423847198486,42.79219408957666,2.3258342146873474,worst_uncertainty_stratified_mhz
6441,250.0,7,28.411421714623145,-28.411421714623145,28.411421714623145,0.016917519982028905,0.01112943898630133,0.028046958968330236,21.92658631910229,18.361515295232067,0.0,0.10998422746947867,0.8410100936889648,42.79219408957666,2.7400835156440735,worst_uncertainty_stratified_mhz
7519,250.0,7,28.372046164904773,-28.372046164904773,28.372046164904773,0.027805392580062496,0.1068008338814876,0.1346062264615501,21.87304812860662,17.909833507244745,0.0,1.4656940374274625,3.488443970680237,37.32626421167808,3.1543967574834824,worst_uncertainty_stratified_mhz
7056,250.0,7,27.466974836735478,-27.466974836735478,27.466974836735478,0.7287305986071665,0.1523933058894605,0.881123904496627,22.457053338880538,11.750775119816149,0.0,0.280400352030199,1.7873644828796387,42.56594149082104,8.260303020477295,worst_uncertainty_stratified_mhz
7531,250.0,7,27.272505141741373,-27.272505141741373,27.272505141741373,0.10626728979122968,0.08043312966593524,0.18670041945716492,21.04994845331366,17.075341441277235,0.0,0.614747610652028,2.6459412574768066,38.22446042784646,3.2950960993766785,worst_uncertainty_stratified_mhz
6760,250.0,7,27.025854132864545,-27.025854132864545,27.025854132864545,0.24218839072209944,0.48028843747834216,0.7224768282004416,22.208915561488006,11.52456426202821,0.0,4.075518326462941,6.055041790008545,30.211752680041588,8.292188167572021,worst_uncertainty_stratified_mhz
6609,250.0,7,26.984967885299522,-26.984967885299522,26.984967885299522,0.09454322767396685,0.06898582006884516,0.16352904774281202,20.461711446103944,17.97980541142836,0.0,0.33900847164587034,1.970903992652893,38.27450195626326,2.179205045104027,worst_uncertainty_stratified_mhz
7106,265.0,7,31.554427840048373,-31.554427840048373,31.554427840048373,0.2224322355541104,0.40317916285366534,0.6256113984077758,28.090708672880943,7.990214637065731,0.0,4.339361139795017,6.870388031005859,40.632307035165994,12.539011716842651,worst_uncertainty_stratified_mhz
7220,265.0,7,31.359471563522966,-31.359471563522966,31.359471563522966,0.28088374420984347,0.32298389816750545,0.6038676423773489,29.27018089885449,4.142709188835267,0.0,4.5053426396718805,6.8244733810424805,42.70520313732274,14.958356857299805,worst_uncertainty_stratified_mhz
7465,265.0,7,30.60731480481541,-30.60731480481541,30.60731480481541,1.232460201097225,0.6168211028420847,1.8492813039393097,25.203422023001472,10.007419874262814,0.0,5.192777298099017,7.7921295166015625,32.22915993320335,10.952550053596497,worst_uncertainty_stratified_mhz
6435,265.0,7,30.078563268610246,-30.078563268610246,30.078563268610246,0.8552553306994065,0.33504924928467705,1.1903045799840837,26.274103429963912,7.359107895427276,0.0,3.8291141476940993,6.615476608276367,38.27450195626326,12.717309951782227,worst_uncertainty_stratified_mhz
6763,265.0,7,29.44235063091053,-29.44235063091053,29.44235063091053,0.6846988398467272,0.5690394235484643,1.2537382633951915,26.029076686048725,6.025130744825397,0.0,7.547363987481148,7.177207946777344,29.786217450357807,13.535922884941101,worst_uncertainty_stratified_mhz
7475,265.0,7,26.76560569190215,-26.76560569190215,26.76560569190215,0.9039178607502015,0.2766487914561117,1.1805666522063132,22.837681765890032,7.791618922640077,0.0,0.9072003407447795,3.2286558151245117,40.632307035165994,11.735338807106018,worst_uncertainty_stratified_mhz
6503,265.0,7,26.706922809469475,-26.706922809469475,26.706922809469475,0.575899861833566,0.19854527317715212,0.7744451350107181,23.86693574728399,5.859394484344038,0.0,0.6102553070888348,2.31777286529541,44.1955880150949,13.237019300460815,worst_uncertainty_stratified_mhz
7207,265.0,7,26.701622873623965,-26.701622873623965,26.701622873623965,0.24738631265534786,0.520127237541356,0.7675135501967039,24.337766447914543,4.472889685430444,0.0,3.0986611446537466,4.663076400756836,37.81513420576476,14.273569703102112,worst_uncertainty_stratified_mhz
7046,265.0,7,26.09967609937954,-26.09967609937954,26.09967609937954,0.36256833348524137,0.4957804627487648,0.8583487962340062,23.44293913159357,5.070479369698151,0.0,1.7005477347083797,4.582862854003906,38.90191993976647,13.74398136138916,worst_uncertainty_stratified_mhz
7960,265.0,7,25.67208077043493,-25.67208077043493,25.67208077043493,0.6884807586751863,0.6851798208481592,1.3736605795233454,21.952876212455095,6.603446137180007,0.0,2.9266281915720214,5.424383163452148,32.628112878314,12.455206513404846,worst_uncertainty_stratified_mhz
6742,265.0,7,25.252317716317332,-25.252317716317332,25.252317716317332,1.3525698078006352,0.4818455384050958,1.834415346205731,20.818901006723923,7.286177477729469,0.0,5.30555937186017,6.049506187438965,24.97717708228854,11.79062008857727,worst_uncertainty_stratified_mhz
6497,270.0,7,29.43811797461105,-29.43811797461105,29.43811797461105,0.301006595584147,0.20179864452600632,0.5028052401101533,22.633462432742615,17.70400456647141,0.0,3.1286149362074753,6.161559581756592,32.848135411313685,4.193482369184494,worst_uncertainty_stratified_mhz
7634,270.0,7,28.799226829240087,-28.799226829240087,28.799226829240087,0.3202575043875942,0.1603262334901598,0.480583737877754,22.869144490267473,15.47120363162215,0.0,0.6785358428110122,2.833240509033203,41.54797678587972,5.955729305744171,worst_uncertainty_stratified_mhz
6690,270.0,7,28.348230166189758,-28.348230166189758,28.348230166189758,0.0668408444407853,0.02494878195688722,0.09178962639767252,21.69047047610884,18.64410434202359,0.0,0.17276268366626346,1.164520263671875,41.870895321213276,2.5636008232831955,worst_uncertainty_stratified_mhz
7162,270.0,7,27.702014222155892,-27.702014222155892,27.702014222155892,0.1631263991495312,0.13529725976411788,0.2984236589136491,22.974839251959246,12.589004766937405,0.0,0.5347058654659769,2.4748573303222656,42.40540944266427,8.08901995420456,worst_uncertainty_stratified_mhz
7183,270.0,7,25.989246416773234,-25.989246416773234,25.989246416773234,0.2213878423190954,0.05268802377484728,0.2740758660939427,19.728987785545666,16.915023840080863,0.0,0.5319864199328028,1.7478910684585571,36.64611166276717,2.7659476548433304,worst_uncertainty_stratified_mhz
7881,270.0,7,25.804941665883263,-25.804941665883263,25.804941665883263,0.1829328086159782,0.32332597338447655,0.5062587820004547,20.352988172225587,13.912049612200853,0.0,3.2625993566940807,6.18300986289978,27.997767768163232,5.904580742120743,worst_uncertainty_stratified_mhz
6498,270.0,7,25.455731544053766,-25.455731544053766,25.455731544053766,0.005835990026418425,0.003924815879707858,0.009760805906126283,19.50049456590918,16.9243807757053,0.0,0.042538829610284656,0.6414095163345337,38.27450195626326,2.3498424142599106,worst_uncertainty_stratified_mhz
7654,280.0,7,30.417106657554168,-30.417106657554168,30.417106657554168,0.15739670076768417,0.36386406620641376,0.521260766974098,24.65312864789377,14.800359246302946,0.0,3.458200638136386,5.887287616729736,36.50256840278503,7.427620351314545,worst_uncertainty_stratified_mhz
6455,280.0,7,28.53119404498436,-28.53119404498436,28.53119404498436,0.005886761105653392,0.009984739448375007,0.0158715005540284,21.641700160148382,19.580717562870117,0.0,0.020047635833533084,0.45111095905303955,42.79219408957666,1.7376175075769424,worst_uncertainty_stratified_mhz
7685,280.0,7,28.495891347483585,-28.495891347483585,28.495891347483585,0.02289595096855516,0.01949732971685011,0.04239328068540527,22.185661841232065,17.833845697786415,0.0,0.13754994487360417,1.3040297031402588,42.79219408957666,3.567467898130417,worst_uncertainty_stratified_mhz
6415,280.0,7,28.43105902846447,-28.43105902846447,28.43105902846447,0.003054510970179378,0.008184853706364119,0.011239364676543497,21.662464853651862,19.249821606017118,0.0,0.025983647391210063,0.4807683229446411,42.79219408957666,2.0233021080493927,worst_uncertainty_stratified_mhz
