candidate_id,mhz,k,badness,quality_score,uncertainty,heatmap_mc_mse,decoder_mc_rce,peak_bias_score,p99_var,peak_loc_spread_px,pred_p99_mean,selected_reason
1163,250.0,3,739.0249383779835,-739.0249383779835,738.7749383779835,0.0371836795518484,0.004709794224578667,615.6204466532137,0.04011937972073465,0.0,2.3004583418369293,worst_uncertainty_stratified_mhz
1199,250.0,3,732.5676080854329,-732.5676080854329,732.3176080854329,0.003577220597230668,0.004913520768094068,610.2536465014074,0.014193421264437234,0.0,2.363035798072815,worst_uncertainty_stratified_mhz
4,250.0,3,718.0755540805751,-718.0755540805751,717.8255540805751,0.014271763164340917,0.003778793370392061,595.8266209959417,0.01283870340712312,28.198792084059203,2.5326338410377502,worst_uncertainty_stratified_mhz
682,250.0,3,705.7013764482256,-705.7013764482256,705.4513764482256,0.006372978929413862,0.005370147681437453,587.1755750933837,0.02375353232982036,8.227241335952167,2.6353179216384888,worst_uncertainty_stratified_mhz
987,250.0,3,689.0419119971509,-689.0419119971509,688.7919119971509,0.013552341319863574,0.0177669392474478,572.4251501611037,0.08704093989797101,18.21228980661136,2.8121591210365295,worst_uncertainty_stratified_mhz
72,250.0,3,687.9470520164156,-687.9470520164156,687.6970520164156,0.05066853759427905,0.012712287761113642,570.7588900558691,0.07619531831866766,27.279800219209818,2.832278251647949,worst_uncertainty_stratified_mhz
1339,250.0,3,648.5014621270054,-648.5014621270054,648.2514621270054,0.021267638641403463,0.016350561505246452,540.1778324027565,0.023487119369804077,0.0,3.2068830728530884,worst_uncertainty_stratified_mhz
1027,250.0,3,628.1695737105808,-628.1695737105808,627.9195737105808,0.03208636936275834,0.013125308186736805,520.6719789362503,0.10147156377567157,30.499743851383407,3.451384127140045,worst_uncertainty_stratified_mhz
603,250.0,3,608.2466062667387,-608.2466062667387,607.9966062667387,0.004452807741496489,0.005145127417746983,506.64228393580953,0.048670430586553515,0.0,3.6300868093967438,worst_uncertainty_stratified_mhz
1266,250.0,3,606.2299530690412,-606.2299530690412,605.9799530690412,0.019300412895675755,0.03717159907648749,502.4455728725324,0.17548499088135827,29.23263373355196,3.6840217113494873,worst_uncertainty_stratified_mhz
