candidate_id,mhz,k,badness,quality_score,uncertainty,heatmap_mc_mse,p99_var,peak_loc_spread_px,pred_p99_mean,selected_reason
1454,250.0,3,0.07854732516457112,-0.07854732516457112,0.07854732516457112,0.07854732516457112,0.093184027317485,29.227080289043965,3.916854818662008,worst_uncertainty_stratified_mhz
271,250.0,3,0.07695416671992215,-0.07695416671992215,0.07695416671992215,0.07695416671992215,0.10617538414307622,31.5,4.414193391799927,worst_uncertainty_stratified_mhz
1573,250.0,3,0.07560809979710054,-0.07560809979710054,0.07560809979710054,0.07560809979710054,0.3175760418387515,38.88765871070152,3.5173789660135903,worst_uncertainty_stratified_mhz
689,250.0,3,0.0754869986920652,-0.0754869986920652,0.0754869986920652,0.0754869986920652,0.02800232307292087,23.47871376374779,4.423656463623047,worst_uncertainty_stratified_mhz
1346,250.0,3,0.07429716288533209,-0.07429716288533209,0.07429716288533209,0.07429716288533209,0.1258938538914928,0.0,5.0861427783966064,worst_uncertainty_stratified_mhz
1044,265.0,3,0.8652114299749994,-0.8652114299749994,0.8652114299749994,0.8652114299749994,0.7987515213378188,32.941446369109066,9.437897125879923,worst_uncertainty_stratified_mhz
443,265.0,3,0.5490193305887616,-0.5490193305887616,0.5490193305887616,0.5490193305887616,0.8842002093920011,44.1955880150949,9.152049779891968,worst_uncertainty_stratified_mhz
1458,265.0,3,0.5376711915961743,-0.5376711915961743,0.5376711915961743,0.5376711915961743,0.9030496690915962,32.941446369109066,9.172703981399536,worst_uncertainty_stratified_mhz
991,265.0,3,0.5296932901017655,-0.5296932901017655,0.5296932901017655,0.5296932901017655,1.0995876777246598,41.667999978667346,9.171268304189047,worst_uncertainty_stratified_mhz
385,265.0,3,0.48337393736036643,-0.48337393736036643,0.48337393736036643,0.48337393736036643,0.09989617382317799,0.0,9.484815120697021,worst_uncertainty_stratified_mhz
908,265.0,3,0.483341225372294,-0.483341225372294,0.483341225372294,0.483341225372294,0.5010432064132905,41.667999978667346,9.189159870147705,worst_uncertainty_stratified_mhz
48,265.0,3,0.46561119455143646,-0.46561119455143646,0.46561119455143646,0.46561119455143646,1.3095987908190334,23.127665011602204,9.25893259048462,worst_uncertainty_stratified_mhz
