epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
280,0.030000,0.0423,0.6498,-0.0058,1.1342,-0.0051,1.1728,0.0061,0.0991,1.5476,-0.2915,0.3420,2.0849,0.6818,0.8748
285,0.030000,0.0381,0.6445,-0.0102,1.1390,-0.0089,1.1798,0.0057,0.0763,1.5611,-0.2495,0.2320,2.1221,0.6356,0.8312
290,0.030000,0.0396,0.6479,-0.0070,1.1351,-0.0072,1.1731,0.0079,0.0680,1.5485,-0.1482,0.2485,2.0920,0.6613,0.8572
295,0.030000,0.0178,0.6516,-0.0076,1.1404,-0.0062,1.1763,0.0046,0.0880,1.5512,-0.2052,0.2298,2.0950,0.6656,0.8546
300,0.030000,0.0293,0.6524,-0.0132,1.1390,-0.0144,1.1798,0.0041,0.0685,1.5386,-0.2236,0.1701,2.0688,0.6804,0.8702
305,0.030000,0.0456,0.6561,-0.0220,1.1422,-0.0118,1.1791,0.0021,0.0726,1.5276,-0.1987,0.2302,2.0384,0.6566,0.8395
310,0.030000,0.0512,0.6575,-0.0143,1.1398,0.0007,1.1841,0.0119,0.0806,1.5304,-0.2598,0.2921,2.0453,0.6376,0.8234
315,0.030000,0.0535,0.6530,-0.0259,1.1442,-0.0162,1.1864,0.0064,0.0874,1.5370,-0.2337,0.2690,2.0657,0.6304,0.8157
320,0.030000,0.0490,0.6569,-0.0141,1.1420,-0.0101,1.1789,0.0112,0.0784,1.5377,-0.1983,0.2522,2.0681,0.6183,0.8057
325,0.030000,0.0461,0.6550,-0.0137,1.1466,-0.0122,1.1739,0.0136,0.0761,1.5298,-0.1687,0.2787,2.0532,0.6324,0.8242
330,0.030000,0.0464,0.6597,-0.0162,1.1473,-0.0093,1.1838,0.0150,0.0754,1.5308,-0.2985,0.2000,2.0522,0.6108,0.7983
335,0.030000,0.0463,0.6643,-0.0161,1.1488,-0.0131,1.1890,0.0096,0.0599,1.5204,-0.1159,0.1662,2.0183,0.5937,0.7711
340,0.030000,0.0436,0.6606,-0.0112,1.1466,-0.0073,1.1865,0.0103,0.0735,1.5319,-0.1262,0.2846,2.0613,0.6201,0.8082
345,0.030000,0.0299,0.6589,-0.0161,1.1521,-0.0123,1.1863,-0.0000,0.0798,1.5232,-0.2494,0.2048,2.0430,0.6037,0.7903
350,0.030000,0.0522,0.6640,-0.0111,1.1459,-0.0027,1.1880,0.0121,0.0827,1.5180,-0.1801,0.2753,2.0283,0.5805,0.7646
355,0.030000,0.0419,0.6661,-0.0264,1.1492,-0.0118,1.1801,0.0033,0.0614,1.5175,-0.1784,0.1699,2.0210,0.5840,0.7684
360,0.030000,0.0491,0.6658,-0.0149,1.1470,-0.0098,1.1860,0.0082,0.0705,1.5055,-0.2222,0.2445,2.0053,0.5755,0.7582
365,0.030000,0.0334,0.6707,-0.0200,1.1489,-0.0069,1.1889,0.0007,0.0764,1.5170,-0.2114,0.2883,2.0236,0.6026,0.7820
370,0.030000,0.0511,0.6705,-0.0219,1.1479,-0.0174,1.1858,0.0017,0.0795,1.5186,-0.1981,0.2134,2.0233,0.6004,0.7785
375,0.030000,0.0504,0.6721,-0.0127,1.1497,-0.0158,1.1893,0.0121,0.0694,1.5171,-0.1972,0.2006,2.0319,0.5846,0.7668
380,0.030000,0.0527,0.6731,-0.0084,1.1467,-0.0139,1.1960,0.0095,0.0785,1.5042,-0.2574,0.2401,2.0000,0.5886,0.7691
385,0.030000,0.0537,0.6760,-0.0199,1.1465,-0.0087,1.1916,0.0095,0.0636,1.5042,-0.1424,0.2330,2.0010,0.5622,0.7435
390,0.030000,0.0316,0.6698,-0.0151,1.1554,-0.0147,1.1898,0.0025,0.0728,1.5247,-0.2806,0.2459,2.0486,0.5811,0.7668
395,0.030000,0.0541,0.6746,-0.0195,1.1505,-0.0067,1.1857,0.0107,0.0789,1.4953,-0.1869,0.3841,1.9810,0.5694,0.7453
400,0.030000,0.0511,0.6762,-0.0087,1.1543,-0.0034,1.1926,0.0100,0.0722,1.5054,-0.1885,0.2254,2.0038,0.5543,0.7295
405,0.030000,0.0428,0.6806,-0.0282,1.1531,-0.0217,1.1869,-0.0011,0.0717,1.4961,-0.2554,0.1737,1.9834,0.5403,0.7192
410,0.030000,0.0358,0.6805,-0.0105,1.1519,-0.0048,1.1852,0.0042,0.0783,1.5131,-0.2016,0.1943,2.0250,0.5920,0.7702
415,0.030000,0.0512,0.6767,-0.0263,1.1552,-0.0093,1.2007,0.0104,0.0816,1.5076,-0.1811,0.2763,2.0114,0.5599,0.7368
420,0.030000,0.0480,0.6810,-0.0016,1.1511,-0.0069,1.1852,0.0105,0.0637,1.5039,-0.1713,0.1821,2.0030,0.5818,0.7696
425,0.030000,0.0537,0.6834,-0.0209,1.1541,-0.0088,1.1931,0.0103,0.0725,1.4906,-0.2230,0.2431,1.9718,0.5373,0.7160
430,0.030000,0.0336,0.6807,-0.0145,1.1539,-0.0175,1.1935,0.0010,0.0734,1.4938,-0.2114,0.2661,1.9781,0.5382,0.7119
435,0.030000,0.0499,0.6874,-0.0294,1.1522,-0.0110,1.1904,0.0074,0.0664,1.4843,-0.1824,0.2005,1.9556,0.5477,0.7204
440,0.030000,0.0458,0.6889,-0.0223,1.1500,-0.0121,1.1906,0.0017,0.0742,1.4813,-0.1914,0.1826,1.9522,0.5599,0.7351
445,0.030000,0.0445,0.6808,-0.0206,1.1534,-0.0222,1.1875,0.0071,0.0673,1.4966,-0.1488,0.2233,1.9947,0.5675,0.7453
450,0.030000,0.0447,0.6847,-0.0180,1.1513,-0.0076,1.1857,0.0038,0.0635,1.4818,-0.1278,0.1512,1.9536,0.5254,0.6952
455,0.030000,0.0415,0.6974,-0.0140,1.1405,0.0090,1.1840,0.0226,0.1576,1.4538,-0.4313,0.7001,1.8926,0.6566,0.8260
460,0.030000,0.0676,0.6601,-0.0877,1.0484,-0.0723,0.8213,-0.0147,0.9338,1.5752,-2.1449,3.0024,2.7479,1.0016,1.3425
465,0.030000,0.2031,0.5492,0.0362,0.9384,0.0083,0.5275,0.1094,1.3191,1.5777,-3.3611,4.8211,3.5068,1.1067,1.9510
470,0.030000,0.2576,0.5261,0.1078,0.8367,0.0781,0.5189,0.1669,1.5174,1.5433,-3.7851,5.7221,3.7842,1.1007,2.0735
475,0.030000,0.2915,0.5253,0.1601,0.7669,0.1270,0.5241,0.1966,1.6652,1.5251,-4.0077,5.7833,4.0226,1.0957,2.1477
480,0.030000,0.3140,0.5248,0.2176,0.7224,0.1817,0.5290,0.2384,1.7884,1.5425,-5.2038,6.2578,4.2894,1.0151,2.1242
485,0.030000,0.3213,0.5252,0.2559,0.6818,0.2138,0.5401,0.2592,1.8366,1.5576,-5.8915,6.1677,4.4152,0.9621,2.0829
