epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
1270,0.110000,-0.1066,0.6847,-0.1085,0.5276,-0.0515,0.5785,-0.0980,0.4112,1.2057,-1.0973,1.1331,1.9695,0.8185,1.5032
1275,0.110000,-0.1074,0.6902,-0.1060,0.5279,-0.0693,0.5788,-0.1052,0.4531,1.1982,-1.1513,1.4783,1.9771,0.9051,1.5830
1280,0.110000,-0.1233,0.7215,-0.0824,0.5208,-0.0579,0.5782,-0.1176,0.4669,1.2062,-1.1680,1.3549,1.9924,2.3199,2.9542
1285,0.110000,-0.1265,0.7350,-0.0785,0.5173,-0.0404,0.5757,-0.1176,0.4372,1.1388,-1.1492,1.1378,1.8737,2.3024,2.9262
1290,0.110000,-0.1281,0.6881,-0.0824,0.5237,-0.0173,0.5777,-0.1223,0.4483,1.1521,-1.2310,1.1125,1.9032,0.9971,1.6728
1295,0.110000,-0.1380,0.6849,-0.0845,0.5227,0.0134,0.5780,-0.1175,0.4279,1.1629,-1.2820,0.9419,1.9111,0.9267,1.6049
1300,0.110000,-0.1381,0.6852,-0.0840,0.5222,-0.0061,0.5781,-0.1174,0.4194,1.1629,-1.2709,0.8765,1.9077,0.9320,1.6075
1305,0.110000,-0.1409,0.6891,-0.0846,0.5232,-0.0501,0.5806,-0.1260,0.4203,1.1577,-1.3093,1.0287,1.9000,0.9491,1.6163
1310,0.110000,-0.1329,0.6920,-0.0845,0.5213,-0.0380,0.5808,-0.1193,0.4141,1.1599,-1.3014,0.9822,1.8999,0.9643,1.6318
1315,0.110000,-0.1279,0.6972,-0.0860,0.5208,-0.0748,0.5810,-0.1245,0.4210,1.1564,-1.3457,1.1042,1.8972,0.9663,1.6268
1320,0.050000,-0.1204,0.6822,-0.0905,0.5141,-0.0651,0.5803,-0.1158,0.4848,1.1785,-1.2720,1.5863,1.9687,1.3677,1.8843
1325,0.050000,-0.1146,0.6840,-0.0881,0.5144,-0.0562,0.5829,-0.1110,0.4591,1.1788,-1.2774,1.2511,1.9571,1.5185,2.0261
1330,0.050000,-0.1158,0.6924,-0.0875,0.5163,-0.0295,0.5848,-0.1045,0.4483,1.1821,-1.2416,1.0085,1.9546,1.6293,2.1240
1335,0.050000,-0.1269,0.6979,-0.0886,0.5143,-0.0089,0.5867,-0.1029,0.4531,1.1976,-1.2463,1.0812,1.9825,1.7569,2.2544
1340,0.050000,-0.1377,0.7015,-0.0893,0.5158,-0.0005,0.5841,-0.0977,0.4585,1.2085,-1.2411,1.2868,2.0016,1.8191,2.3189
1345,0.050000,-0.1513,0.6280,-0.0842,0.5124,-0.0359,0.5824,-0.1158,0.4623,1.1961,-1.4677,1.2089,1.9951,0.9712,1.5532
1350,0.050000,-0.1597,0.6247,-0.0858,0.5106,-0.0449,0.5816,-0.1295,0.4674,1.1972,-1.5241,1.1412,2.0033,0.9529,1.5287
1355,0.050000,-0.1530,0.6286,-0.0914,0.5099,-0.0845,0.5827,-0.1386,0.4782,1.2016,-1.5885,1.2616,2.0170,0.9788,1.5518
1360,0.050000,-0.1461,0.6251,-0.0924,0.5116,-0.0558,0.5823,-0.1285,0.4720,1.2087,-1.6117,1.1631,2.0246,0.9713,1.5521
1365,0.050000,-0.1573,0.6285,-0.0939,0.5101,-0.0447,0.5807,-0.1331,0.4695,1.2168,-1.6094,1.0891,2.0384,0.9719,1.5444
1370,0.050000,-0.1319,0.6506,-0.1004,0.5109,-0.0463,0.5871,-0.1205,0.5210,1.2193,-1.4551,1.5414,2.0670,1.2933,1.8065
1375,0.050000,-0.1265,0.6675,-0.0996,0.5121,-0.0390,0.5926,-0.1117,0.5018,1.2226,-1.4593,1.1945,2.0577,1.3497,1.8494
1380,0.050000,-0.1347,0.6801,-0.1014,0.5148,-0.0310,0.5877,-0.1068,0.4950,1.2413,-1.3680,1.3501,2.0833,1.5053,2.0083
1385,0.050000,-0.1365,0.6894,-0.0984,0.5126,-0.0171,0.5918,-0.0993,0.4906,1.2512,-1.4544,1.2858,2.0951,1.5979,2.0975
1390,0.050000,-0.1458,0.6938,-0.0887,0.5160,-0.0152,0.5926,-0.0976,0.4653,1.2544,-1.4704,1.0744,2.0845,1.6463,2.1362
1395,0.050000,-0.1475,0.6988,-0.0807,0.5149,-0.0094,0.5983,-0.1027,0.4517,1.2516,-1.5114,1.1091,2.0715,1.7147,2.1977
1400,0.050000,-0.1488,0.7059,-0.0814,0.5162,-0.0205,0.5981,-0.1108,0.4433,1.2551,-1.4408,1.0320,2.0725,1.7167,2.1978
1405,0.050000,-0.1488,0.7092,-0.0824,0.5177,-0.0098,0.5970,-0.1114,0.4404,1.2638,-1.4012,1.0161,2.0843,1.8219,2.3050
1410,0.050000,-0.1551,0.6292,-0.0861,0.5100,0.0186,0.5878,-0.1169,0.4702,1.2293,-1.5493,1.1564,2.0569,1.0161,1.5852
1415,0.050000,-0.1742,0.6242,-0.0900,0.5103,0.0235,0.5914,-0.1220,0.4885,1.2290,-1.6053,1.0448,2.0668,0.9328,1.5048
1420,0.050000,-0.1656,0.6282,-0.0923,0.5104,-0.0005,0.5876,-0.1195,0.4949,1.2405,-1.5859,0.9266,2.0892,0.9306,1.5030
1425,0.050000,-0.1656,0.6309,-0.0945,0.5085,-0.0000,0.5884,-0.1200,0.4914,1.2448,-1.6570,0.8920,2.0954,0.9449,1.5150
1430,0.050000,-0.1699,0.6292,-0.0922,0.5108,-0.0150,0.5891,-0.1243,0.4847,1.2462,-1.6675,0.8999,2.0948,0.9266,1.4943
1435,0.050000,-0.1769,0.6296,-0.0983,0.5076,-0.0145,0.5900,-0.1342,0.4850,1.2520,-1.7277,0.8687,2.1068,0.9411,1.5166
