K,n_train,n_gen,baseline_combined_median,combined_p10,combined_median,combined_p90,median_ratio_gen_over_base,hm_median,imp_median,ham_median,occ_exact,occ_exact_rate,nn_mode_frac,nn_mode_sample,gen_nn_percentile_p10,gen_nn_percentile_median,gen_nn_percentile_p90,mem_suspect_rate_p01,mem_suspect_rate_p05,mem_suspect_rate_p10,train_to_gen_combined_median,train_to_gen_cov_at_base_p90,train_occ_unique,gen_occ_unique,gen_occ_new_unique,gen_occ_new_rate,gen_occ_in_train_unique,train_occ_covered_rate,max_possible_train_coverage_rate,gen_occ_repeat_rate,gen_occ_mode_frac,occ_jsd,train_occ_entropy,gen_occ_entropy,combo_space,combo_space_log10,train_combo_space_rate,gen_combo_space_rate,gen_in_train_combo_space_rate,gen_occ_in_train_samples,gen_occ_in_train_sample_rate,expected_in_train_samples_uniform,expected_in_train_sample_rate_uniform,in_train_sample_rate_over_uniform
31,609,520,0.30935409665107727,3.956477427482605,4.096468448638916,4.240776491165161,13.242004851351144,3.8156172037124634,0.007322501391172409,14.0,0,0.0,0.013461538461538462,sample_1460,1.0,1.0,1.0,0.0,0.0,0.0,3.888465166091919,0.0,609,520,520,1.0,0,0.0,0.8538587848932676,0.0,0.0019230769230769232,1.0,9.250298417906329,9.022367813028453,191991813933920,14.283282711833145,3.1720102410699993e-12,2.7084488101090304e-12,0.0,0,0.0,1.6494453253563995e-09,3.1720102410699993e-12,0.0
32,622,520,0.2993086576461792,3.8805251598358153,4.055205583572388,4.230025291442871,13.548574289375068,3.7770135402679443,0.007235836703330278,14.0,0,0.0,0.011538461538461539,sample_5508,1.0,1.0,1.0,0.0,0.0,0.0,3.7553945779800415,0.0,622,520,520,1.0,0,0.0,0.8360128617363344,0.0,0.0019230769230769232,1.0,9.280770770130603,9.022367813028453,125994627894135,14.100352028247158,4.936718417253676e-12,4.127160091594713e-12,0.0,0,0.0,2.5670935769719117e-09,4.936718417253676e-12,0.0
33,606,520,0.2933753579854965,3.9116599321365357,4.072360277175903,4.235548067092895,13.881057717796553,3.8076019287109375,0.007309092208743095,14.0,0,0.0,0.011538461538461539,sample_10597,1.0,1.0,1.0,0.0,0.0,0.0,3.9065141677856445,0.0,606,520,520,1.0,0,0.0,0.858085808580858,0.0,0.0019230769230769232,0.9999999999999999,9.243173983472952,9.022367813028453,76360380541900,13.882868084033252,7.936052645356835e-12,6.8098141511312765e-12,0.0,0,0.0,4.126747375585554e-09,7.936052645356835e-12,0.0
34,642,520,0.28742073476314545,3.850273871421814,4.011003732681274,4.158393287658692,13.955164842183772,3.756092667579651,0.006803174037486315,14.0,0,0.0,0.013461538461538462,sample_22495,1.0,1.0,1.0,0.0,0.0,0.0,3.614712357521057,0.0,642,520,520,1.0,0,0.0,0.8099688473520249,0.0,0.0019230769230769232,1.0,9.326429487122304,9.022367813028453,42671977361650,13.630142767943825,1.5045002357377887e-11,1.2185983217813863e-11,0.0,0,0.0,7.8234012258365e-09,1.5045002357377887e-11,0.0
35,585,520,0.2828652709722519,3.811790633201599,3.9739633798599243,4.135075902938842,14.048961776752567,3.728381872177124,0.005848872009664774,12.0,0,0.0,0.011538461538461539,sample_17960,1.0,1.0,1.0,0.0,0.0,0.0,3.7371063232421875,0.0,585,520,520,1.0,0,0.0,0.8888888888888888,0.0,0.0019230769230769232,1.0000000000000002,9.192292814470765,9.022367813028453,21945588357420,13.341347228696856,2.6656838288967826e-11,2.36949673679714e-11,0.0,0,0.0,1.386155591026327e-08,2.6656838288967826e-11,0.0
36,615,520,0.2637319713830948,3.890169620513916,4.036102771759033,4.169254541397095,15.303805414991666,3.7999191284179688,0.005983294919133186,12.0,0,0.0,0.011538461538461539,sample_13466,1.0,1.0,1.0,0.0,0.0,0.0,3.620903968811035,0.0,615,520,520,1.0,0,0.0,0.8455284552845529,0.0,0.0019230769230769232,0.9999999999999998,9.264442600226602,9.022367813028453,10363194502115,13.015493649307842,5.93446354668424e-11,5.017757795570414e-11,0.0,0,0.0,3.085921044275805e-08,5.93446354668424e-11,0.0
37,609,520,0.24983219057321548,3.759636163711548,3.934125542640686,4.090499687194824,15.747072199199872,3.70306396484375,0.005676863947883248,12.0,0,0.0,0.01730769230769231,sample_24969,1.0,1.0,1.0,0.0,0.0,0.0,3.742466688156128,0.0,609,520,520,1.0,0,0.0,0.8538587848932676,0.0,0.0019230769230769232,1.0,9.250298417906329,9.022367813028453,4481381406320,12.651411907896772,1.3589559664373574e-10,1.1603564902256583e-10,0.0,0,0.0,7.066571025474259e-08,1.3589559664373574e-10,0.0
38,589,520,0.24426737427711487,3.770327258110046,3.933274269104004,4.105143451690674,16.10233163861584,3.714024066925049,0.005404650000855327,12.0,0,0.0,0.013461538461538462,sample_17215,1.0,1.0,1.0,0.0,0.0,0.0,3.5680270195007324,0.0,589,520,520,1.0,0,0.0,0.8828522920203735,0.0,0.0019230769230769232,1.0,9.202123823830458,9.022367813028453,1768966344600,12.247719570335644,3.3296280723372674e-10,2.939569775238334e-10,0.0,0,0.0,1.731406597615379e-07,3.3296280723372674e-10,0.0
39,622,520,0.22364264726638794,3.814995217323303,3.9545315504074097,4.1014666080474855,17.682367825386365,3.7437586784362793,0.005090886959806085,10.0,0,0.0,0.015384615384615385,sample_21772,1.0,1.0,1.0,0.0,0.0,0.0,3.787052631378174,0.0,622,520,520,1.0,0,0.0,0.8360128617363344,0.0,0.0019230769230769232,1.0,9.280770770130603,9.022367813028453,635013559600,11.802782998987382,9.79506642963345e-10,8.18880151673536e-10,0.0,0,0.0,5.093434543409394e-07,9.79506642963345e-10,0.0
40,598,520,0.2069246768951416,3.723665380477905,3.8879809379577637,4.059586715698242,18.789353673501132,3.6946194171905518,0.004513695137575269,10.0,0,0.0,0.013461538461538462,sample_8767,1.0,1.0,1.0,0.0,0.0,0.0,3.194744110107422,0.0,598,520,520,1.0,0,0.0,0.8695652173913043,0.0,0.0019230769230769232,1.0,9.224001674198103,9.022367813028453,206379406870,11.314666359966257,2.8975759213063583e-09,2.5196312359185722e-09,0.0,0,0.0,1.5067394790793063e-06,2.8975759213063583e-09,0.0
41,594,520,0.20060579478740692,3.6933932542800902,3.843088984489441,4.0099023342132565,19.15741760382433,3.6633362770080566,0.004051439696922898,10.0,0,0.0,0.019230769230769232,sample_10222,1.0,1.0,1.0,0.0,0.0,0.0,3.665308117866516,0.0,594,520,520,1.0,0,0.0,0.8754208754208754,0.0,0.0019230769230769232,0.9999999999999999,9.214319120800766,9.022367813028453,60403728840,10.781063749294146,9.83382998710912e-09,8.608740056055123e-09,0.0,0,0.0,5.113591593296743e-06,9.83382998710912e-09,0.0
42,632,520,0.17443004250526428,3.7165939092636107,3.844409227371216,4.024620151519775,22.039834263384943,3.6756069660186768,0.00392500963062048,8.0,0,0.0,0.013461538461538462,sample_22361,1.0,1.0,1.0,0.0,0.0,0.0,3.703589081764221,0.0,632,520,520,1.0,0,0.0,0.8227848101265823,0.0,0.0019230769230769232,1.0,9.3037807481771,9.022367813028453,15820024220,10.199207144054471,3.9949369938448804e-08,3.2869734759483195e-08,0.0,0,0.0,2.0773672367993377e-05,3.9949369938448804e-08,0.0
