K,n_gen,n_train,baseline_combined_median,gen_to_train_combined_median,median_ratio_gen_over_base,train_to_gen_combined_median,train_to_gen_cov_at_base_p90,mem_suspect_rate_p01,mem_suspect_rate_p05,mem_suspect_rate_p10,occ_exact,occ_ham_median,hm_mse_median,imp_mse_median,train_occ_unique,gen_occ_unique,gen_occ_new_unique,gen_occ_new_rate,gen_occ_mode_frac,occ_jsd
15,520,628,0.29349811375141144,4.177008628845215,14.231807405696241,3.973802328109741,0.0,0.0,0.0,0.0,0,12.0,3.930891275405884,0.010863795410841703,628,520,520,1.0,0.0019230769230769232,1.0
16,520,588,0.3079073280096054,4.204853057861328,13.656229246126141,3.985451340675354,0.0,0.0,0.0,0.0,0,12.0,3.9490115642547607,0.01071867160499096,588,520,520,1.0,0.0019230769230769232,1.0
17,520,590,0.31236521899700165,4.2122862339019775,13.485132075291682,3.7290090322494507,0.0,0.0,0.0,0.0,0,14.0,3.9474191665649414,0.011660687625408173,590,520,520,1.0,0.0019230769230769232,0.9999999999999999
18,520,597,0.3210471421480179,4.192108392715454,13.057610058969765,3.8411834239959717,0.0,0.0,0.0,0.0,0,14.0,3.918170928955078,0.010516608133912086,597,520,520,1.0,0.0019230769230769232,0.9999999999999998
19,520,631,0.3224828243255615,4.152811765670776,12.877621542654062,3.5585103034973145,0.0,0.0,0.0,0.0,0,14.0,3.8833301067352295,0.010464292485266924,631,520,520,1.0,0.0019230769230769232,1.0
20,520,638,0.332688644528389,4.1796956062316895,12.563385240144642,3.6849805116653442,0.0,0.0,0.0,0.0,0,14.0,3.8994266986846924,0.010388791095465422,638,520,520,1.0,0.0019230769230769232,1.0
21,520,623,0.33361653983592987,4.18796968460083,12.553243573176685,3.8073723316192627,0.0,0.0,0.0,0.0,0,14.0,3.9046761989593506,0.010718539822846651,623,520,520,1.0,0.0019230769230769232,0.9999999999999999
22,520,580,0.3385944068431854,4.183603286743164,12.355795613247484,3.9068254232406616,0.0,0.0,0.0,0.0,0,14.0,3.8923842906951904,0.009331310633569956,580,520,520,1.0,0.0019230769230769232,1.0
23,520,611,0.33490438759326935,4.2022833824157715,12.54771074399691,3.78157901763916,0.0,0.0,0.0,0.0,0,14.0,3.9158636331558228,0.00921465689316392,611,520,520,1.0,0.0019230769230769232,0.9999999999999999
24,520,583,0.33808577060699463,4.14942479133606,12.273290247874787,3.7672016620635986,0.0,0.0,0.0,0.0,0,16.0,3.8564577102661133,0.009415796026587486,583,520,520,1.0,0.0019230769230769232,1.0
25,520,599,0.3378658890724182,4.189656496047974,12.400353606427437,3.992779016494751,0.0,0.0,0.0,0.0,0,14.0,3.8975415229797363,0.009146421682089567,599,520,520,1.0,0.0019230769230769232,1.0
26,520,631,0.3356754928827286,4.169158220291138,12.42020436013085,3.9560775756835938,0.0,0.0,0.0,0.0,0,16.0,3.8741400241851807,0.008972762152552605,631,520,520,1.0,0.0019230769230769232,1.0
27,520,630,0.3330969214439392,4.137789011001587,12.422177284211209,3.8100205659866333,0.0,0.0,0.0,0.0,0,14.0,3.847535014152527,0.008391078561544418,630,520,520,1.0,0.0019230769230769232,1.0
28,520,584,0.328336238861084,4.036874055862427,12.294939083986982,3.5014699697494507,0.0,0.0,0.0,0.0,0,14.0,3.746682047843933,0.008568107150495052,584,520,520,1.0,0.0019230769230769232,1.0
29,520,630,0.3151146173477173,4.094239711761475,12.992858745247077,3.8802084922790527,0.0,0.0,0.0,0.0,0,14.0,3.8033517599105835,0.007723919814452529,630,520,520,1.0,0.0019230769230769232,1.0
30,520,613,0.3226315975189209,4.134345769882202,12.814447815018308,3.603440523147583,0.0,0.0,0.0,0.0,0,14.0,3.858668327331543,0.007919509429484606,613,520,520,1.0,0.0019230769230769232,1.0
31,520,609,0.30935409665107727,4.096468448638916,13.242004851351144,3.888465166091919,0.0,0.0,0.0,0.0,0,14.0,3.8156172037124634,0.007322501391172409,609,520,520,1.0,0.0019230769230769232,1.0
32,520,622,0.2993086576461792,4.055205583572388,13.548574289375068,3.7553945779800415,0.0,0.0,0.0,0.0,0,14.0,3.7770135402679443,0.007235836703330278,622,520,520,1.0,0.0019230769230769232,1.0
33,520,606,0.2933753579854965,4.072360277175903,13.881057717796553,3.9065141677856445,0.0,0.0,0.0,0.0,0,14.0,3.8076019287109375,0.007309092208743095,606,520,520,1.0,0.0019230769230769232,0.9999999999999999
34,520,642,0.28742073476314545,4.011003732681274,13.955164842183772,3.614712357521057,0.0,0.0,0.0,0.0,0,14.0,3.756092667579651,0.006803174037486315,642,520,520,1.0,0.0019230769230769232,1.0
